# BUSCO version is: 3.1.0 
# The lineage dataset is: arthropoda_odb9 (Creation date: 2017-02-07, number of species: 60, number of BUSCOs: 1066)
# To reproduce this run: python /usr/bin/run_BUSCO.py -i /cl_tmp/hahnc/Oribatid/transcriptomes/GCA_003956705.1_VIB_BreviYothersi_1.0_genomic.fna -o B_yothersi.B_yothersi.GCA_003956705.1_VIB_BreviYothersi_1.0 -l /usr/people/EDVZ/hahnc/BUSCOS/arthropoda_odb9/ -m genome -c 8 --long -sp fly --augustus_parameters '--progress=true'
#
# Busco id	Status	Contig	Start	End	Score	Length
EOG090X0007	Complete	QZCP01000839.1	106454	149486	1912.9	4883
EOG090X002Z	Missing
EOG090X005G	Complete	QZCP01000322.1	8806	17180	2512.0	1781
EOG090X005Q	Complete	QZCP01000257.1	22166	30244	855.5	1218
EOG090X0064	Complete	QZCP01000048.1	156054	167139	3060.5	1496
EOG090X00BV	Complete	QZCP01000020.1	148971	156868	1194.1	1132
EOG090X00BY	Complete	QZCP01000057.1	241936	253870	2602.4	1645
EOG090X00DN	Complete	QZCP01000841.1	25291	32188	1305.4	996
EOG090X00E0	Complete	QZCP01000712.1	185826	193990	341.1	698
EOG090X00FC	Complete	QZCP01000712.1	158357	163629	899.6	590
EOG090X00GC	Complete	QZCP01000534.1	174755	182056	1898.6	863
EOG090X00GO	Complete	QZCP01000057.1	337921	341850	2202.5	1030
EOG090X00HD	Complete	QZCP01000501.1	53106	59789	1424.3	953
EOG090X00HY	Complete	QZCP01000668.1	170592	179750	1658.6	1082
EOG090X00I4	Complete	QZCP01000057.1	104368	113203	684.5	702
EOG090X00J5	Complete	QZCP01000070.1	137593	151253	969.3	641
EOG090X00JH	Complete	QZCP01000841.1	119474	125780	538.0	291
EOG090X00LI	Complete	QZCP01000068.1	239827	251261	1661.9	938
EOG090X00M6	Complete	QZCP01000304.1	9393	15829	998.6	703
EOG090X00MP	Complete	QZCP01000130.1	2476	8672	849.1	529
EOG090X00NX	Complete	QZCP01000190.1	227718	239442	950.5	687
EOG090X00PD	Complete	QZCP01000223.1	403090	411714	305.1	808
EOG090X00QE	Complete	QZCP01000024.1	349294	356735	795.1	708
EOG090X00QS	Missing
EOG090X00RF	Complete	QZCP01000756.1	33351	45645	559.4	635
EOG090X00RJ	Complete	QZCP01000024.1	45493	53627	1536.4	840
EOG090X00SQ	Complete	QZCP01000325.1	70101	77823	896.6	699
EOG090X00ST	Duplicated	QZCP01000468.1	97576	106186	850.3	656
EOG090X00ST	Duplicated	QZCP01000645.1	12074	16333	932.7	713
EOG090X00TB	Complete	QZCP01000041.1	113366	119205	1154.2	1521
EOG090X00U2	Fragmented	QZCP01000734.1	199401	202561	235.7	286
EOG090X00U8	Complete	QZCP01000104.1	74368	85424	1408.6	985
EOG090X00V6	Duplicated	QZCP01000490.1	55024	59349	1608.3	842
EOG090X00V6	Duplicated	QZCP01000490.1	60305	64989	1665.5	843
EOG090X00VK	Missing
EOG090X00WU	Complete	QZCP01000712.1	64653	72902	1036.4	672
EOG090X00X3	Complete	QZCP01000176.1	78462	86696	491.3	519
EOG090X0109	Complete	QZCP01000623.1	189979	196290	1425.2	753
EOG090X010S	Complete	QZCP01000389.1	12136	20149	1258.0	1038
EOG090X0131	Complete	QZCP01000395.1	12090	15894	612.7	657
EOG090X013U	Complete	QZCP01000841.1	128032	137326	254.4	583
EOG090X0141	Complete	QZCP01000279.1	261874	272718	345.9	210
EOG090X0143	Complete	QZCP01000278.1	6233	15048	1124.6	858
EOG090X014A	Complete	QZCP01000190.1	49239	54123	1073.9	651
EOG090X014D	Missing
EOG090X014G	Complete	QZCP01000223.1	400230	407091	1349.6	844
EOG090X0154	Complete	QZCP01000667.1	452901	456599	997.5	882
EOG090X015P	Complete	QZCP01000090.1	301606	308617	875.5	593
EOG090X017M	Complete	QZCP01000276.1	34835	39076	436.4	376
EOG090X017N	Complete	QZCP01000423.1	175924	185319	163.5	344
EOG090X017X	Complete	QZCP01000045.1	119702	123148	1252.6	810
EOG090X0181	Complete	QZCP01000002.1	283115	295212	783.7	645
EOG090X018J	Complete	QZCP01000111.1	1367	13426	339.0	265
EOG090X019S	Complete	QZCP01000312.1	88656	103375	297.1	463
EOG090X01A3	Complete	QZCP01000712.1	84003	86928	860.8	609
EOG090X01AN	Complete	QZCP01000830.1	89438	99962	331.0	337
EOG090X01B4	Complete	QZCP01000279.1	4568	9695	1189.3	664
EOG090X01BP	Complete	QZCP01000667.1	78832	86371	201.1	199
EOG090X01BU	Complete	QZCP01000488.1	10908	18266	527.8	647
EOG090X01EL	Complete	QZCP01000168.1	200986	204029	858.8	504
EOG090X01EZ	Complete	QZCP01000010.1	84095	90110	1082.7	624
EOG090X01F7	Complete	QZCP01000124.1	172228	175926	616.9	652
EOG090X01FD	Complete	QZCP01000184.1	46033	54448	441.7	588
EOG090X01FO	Complete	QZCP01000001.1	127415	131883	1343.2	739
EOG090X01G2	Complete	QZCP01000035.1	68724	72245	954.5	608
EOG090X01H4	Complete	QZCP01000523.1	233031	235379	357.5	486
EOG090X01HT	Complete	QZCP01000302.1	29907	37302	393.7	338
EOG090X01LO	Complete	QZCP01000330.1	30253	38506	463.4	285
EOG090X01LQ	Complete	QZCP01000001.1	160530	164658	258.0	219
EOG090X01LU	Complete	QZCP01000079.1	88117	105714	1188.9	670
EOG090X01LY	Complete	QZCP01000122.1	35784	60618	415.5	378
EOG090X01MR	Complete	QZCP01000112.1	118956	130823	232.0	360
EOG090X01NK	Complete	QZCP01000009.1	104941	112683	909.0	678
EOG090X01NX	Complete	QZCP01000223.1	155112	161127	1218.3	675
EOG090X01OH	Complete	QZCP01000778.1	439054	446140	407.2	233
EOG090X01OT	Complete	QZCP01000016.1	65974	70362	422.0	264
EOG090X01QS	Complete	QZCP01000218.1	8420	15064	535.2	337
EOG090X01QX	Complete	QZCP01000135.1	191095	201970	99.8	156
EOG090X01R0	Complete	QZCP01000612.1	204001	213501	767.0	807
EOG090X01R1	Complete	QZCP01000152.1	13249	21238	924.2	581
EOG090X01SN	Complete	QZCP01000103.1	40924	46140	754.4	571
EOG090X01U4	Complete	QZCP01000222.1	52727	59711	823.8	588
EOG090X01UE	Complete	QZCP01000053.1	134652	138388	952.2	560
EOG090X01UY	Complete	QZCP01000057.1	225787	231830	851.8	593
EOG090X01V1	Complete	QZCP01000734.1	203038	205578	895.8	566
EOG090X01W2	Complete	QZCP01000117.1	48907	55334	646.7	392
EOG090X01XB	Complete	QZCP01000407.1	24150	32565	257.3	267
EOG090X01YQ	Complete	QZCP01000157.1	88046	100091	678.3	518
EOG090X0205	Complete	QZCP01000013.1	79135	87774	654.1	412
EOG090X020Y	Complete	QZCP01000112.1	536804	541387	248.5	141
EOG090X020Z	Complete	QZCP01000238.1	53708	59396	290.1	221
EOG090X021B	Complete	QZCP01000060.1	186965	188877	306.7	351
EOG090X023B	Complete	QZCP01000139.1	40758	45978	457.7	394
EOG090X024P	Complete	QZCP01000663.1	2778	6627	803.1	653
EOG090X0266	Missing
EOG090X0267	Complete	QZCP01000285.1	26460	34148	316.3	451
EOG090X026K	Complete	QZCP01000079.1	241870	282610	703.9	532
EOG090X026V	Complete	QZCP01000026.1	85361	88375	249.7	343
EOG090X0272	Complete	QZCP01000531.1	6044	11996	489.0	383
EOG090X0279	Complete	QZCP01000011.1	8092	9950	739.8	406
EOG090X027A	Complete	QZCP01000015.1	12380	20904	401.6	307
EOG090X027R	Complete	QZCP01000102.1	95451	101581	905.2	554
EOG090X027U	Complete	QZCP01000745.1	708	8449	242.9	227
EOG090X0289	Complete	QZCP01000191.1	14360	21088	479.4	558
EOG090X028A	Complete	QZCP01000841.1	43880	50560	507.1	442
EOG090X028B	Missing
EOG090X028J	Complete	QZCP01000556.1	186109	187788	418.8	358
EOG090X0294	Complete	QZCP01000312.1	106292	113486	1077.5	632
EOG090X0296	Complete	QZCP01000134.1	97822	105026	826.4	532
EOG090X02BU	Missing
EOG090X02BW	Complete	QZCP01000101.1	239883	244247	643.9	622
EOG090X02C6	Complete	QZCP01000778.1	193059	204001	554.3	490
EOG090X02CC	Complete	QZCP01000051.1	71659	77310	536.8	533
EOG090X02D0	Complete	QZCP01000579.1	83641	85233	102.0	94
EOG090X02DA	Complete	QZCP01000297.1	1	4945	323.0	338
EOG090X02DF	Complete	QZCP01000336.1	19423	21267	971.9	491
EOG090X02DX	Complete	QZCP01000109.1	78469	88760	564.4	363
EOG090X02DZ	Complete	QZCP01000390.1	97709	105347	737.0	668
EOG090X02EM	Complete	QZCP01000112.1	790	8065	500.4	554
EOG090X02EP	Complete	QZCP01000790.1	116013	125917	807.5	497
EOG090X02FO	Complete	QZCP01000235.1	98465	105263	735.1	385
EOG090X02G1	Complete	QZCP01000035.1	266351	268780	771.3	610
EOG090X02H3	Complete	QZCP01000406.1	19969	26040	82.5	113
EOG090X02H9	Complete	QZCP01000482.1	7123	13871	549.3	515
EOG090X02HV	Complete	QZCP01000138.1	46032	52792	606.1	633
EOG090X02I4	Complete	QZCP01000181.1	55664	61710	755.0	462
EOG090X02IK	Complete	QZCP01000035.1	108216	110859	456.7	348
EOG090X02IW	Complete	QZCP01000046.1	116750	119286	295.5	230
EOG090X02IY	Fragmented	QZCP01000339.1	23829	24677	265.9	203
EOG090X02J8	Missing
EOG090X02LG	Missing
EOG090X02LQ	Complete	QZCP01000182.1	57137	62362	699.1	544
EOG090X02LT	Missing
EOG090X02MG	Complete	QZCP01000246.1	96353	98683	427.5	388
EOG090X02MW	Complete	QZCP01000070.1	116230	126114	316.8	403
EOG090X02NT	Duplicated	QZCP01000079.1	291722	309835	482.4	662
EOG090X02NT	Duplicated	QZCP01000168.1	57862	67585	567.3	521
EOG090X02PU	Complete	QZCP01000023.1	68955	76041	217.2	176
EOG090X02QS	Complete	QZCP01000061.1	3645	5522	774.9	488
EOG090X02QX	Complete	QZCP01000046.1	141588	144075	821.0	566
EOG090X02RM	Complete	QZCP01000068.1	68700	73319	300.5	293
EOG090X02RQ	Complete	QZCP01000339.1	16751	23141	751.7	420
EOG090X02S0	Missing
EOG090X02SD	Missing
EOG090X02SJ	Complete	QZCP01000108.1	57358	63147	476.7	673
EOG090X02T5	Complete	QZCP01000100.1	190653	203311	820.2	434
EOG090X02VY	Complete	QZCP01000235.1	181493	191216	497.6	550
EOG090X02WG	Complete	QZCP01000836.1	54764	61061	718.0	648
EOG090X02Z1	Complete	QZCP01000779.1	43769	49617	773.9	599
EOG090X02ZJ	Complete	QZCP01000103.1	45123	53751	308.9	246
EOG090X0302	Complete	QZCP01000423.1	45424	50131	599.3	410
EOG090X030C	Complete	QZCP01000011.1	24220	30330	651.0	541
EOG090X030S	Complete	QZCP01000272.1	46988	52270	728.9	416
EOG090X0318	Complete	QZCP01000013.1	148080	151014	574.7	411
EOG090X031T	Duplicated	QZCP01000123.1	66792	69678	524.3	377
EOG090X031T	Duplicated	QZCP01000246.1	63657	68309	524.3	377
EOG090X0324	Complete	QZCP01000668.1	7422	17976	405.9	347
EOG090X032C	Complete	QZCP01000254.1	27598	31022	657.1	439
EOG090X032R	Complete	QZCP01000023.1	69741	76577	619.4	429
EOG090X033I	Complete	QZCP01000103.1	67692	80516	754.3	487
EOG090X033O	Missing
EOG090X0363	Complete	QZCP01000512.1	185334	192397	371.7	281
EOG090X0364	Complete	QZCP01000213.1	47593	50332	570.9	390
EOG090X036X	Complete	QZCP01000325.1	36454	45346	513.2	471
EOG090X037B	Complete	QZCP01000077.1	31484	38437	267.4	302
EOG090X037N	Complete	QZCP01000756.1	102306	110818	549.2	427
EOG090X0398	Complete	QZCP01000023.1	161470	168379	223.0	175
EOG090X03A4	Complete	QZCP01000668.1	12038	17975	251.6	230
EOG090X03AJ	Complete	QZCP01000836.1	79897	86050	508.7	451
EOG090X03AK	Complete	QZCP01000556.1	182287	185192	705.6	481
EOG090X03B0	Duplicated	QZCP01000088.1	15986	23038	351.1	369
EOG090X03B0	Duplicated	QZCP01000088.1	23561	32256	300.0	377
EOG090X03B7	Complete	QZCP01000135.1	309048	311489	634.0	543
EOG090X03CE	Complete	QZCP01000190.1	286645	294904	461.5	442
EOG090X03DA	Complete	QZCP01000052.1	31488	37020	920.6	449
EOG090X03DI	Complete	QZCP01000048.1	258130	270566	739.3	644
EOG090X03EV	Complete	QZCP01000116.1	29205	39690	385.2	363
EOG090X03FQ	Complete	QZCP01000531.1	3641	13258	192.3	218
EOG090X03G1	Complete	QZCP01000844.1	129237	130890	547.6	398
EOG090X03G5	Complete	QZCP01000132.1	57756	64476	335.5	257
